liyer	WOS:000255125300007	
liyer	WOS:000430405200001	10.1007/s10796-018-9846-7
liyer	WOS:000424921600010	10.1002/etep.2489
liyer	WOS:000424254800006	10.1080/08874417.2016.1220238
liyer	WOS:000393884200010	10.1080/08874417.2016.1183980
liyer	WOS:000357135200006	10.1080/10580530.2015.1044340
liyer	WOS:000349720400028	10.1016/j.bmcl.2014.12.064
liyer	WOS:000337842900001	10.1155/2014/704937
liyer	WOS:000321858700001	10.1186/1471-2164-14-432
liyer	WOS:000320496300010	10.1016/j.intimp.2013.03.016
liyer	WOS:000309353600012	10.1007/s12098-011-0668-6
liyer	WOS:000261196200009	10.1057/ejis.2008.42
liyer	WOS:000271956701034	
